geek_rate,title,num_votes,avg_rate,id
7.307,Die Macher,4454,7.67,1
7.306,Imperial 2030,3858,7.74,54138
7.302,Kingdom Death: Monster,1731,9.04,55690
7.295,Magic: The Gathering,22185,7.43,463
7.293,Isle of Skye: From Chieftain to King,7074,7.54,176494
7.291,Claustrophobia,5428,7.62,36932
7.286,Small World,41562,7.37,40692
7.286,Sekigahara: The Unification of Japan,2105,8.05,25021
7.285,Samurai,11824,7.44,3
7.285,Blood Bowl: Living Rulebook,2957,7.88,15985
7.284,BattleCON: Devastation of Indines,2062,8.13,123123
7.282,Dungeon Lords,10534,7.46,45315
7.281,Power Grid deluxe: Europe/North America,1847,8.16,155873
7.274,Dixit,29665,7.37,39856
7.273,Battle Line,11948,7.42,760
7.270,Letters from Whitechapel,8526,7.49,59959
7.267,Mice and Mystics,10258,7.49,124708
7.266,Clash of Cultures,3798,7.71,40765
7.261,Fury of Dracula (third edition),3621,7.74,181279
7.256,Bruges,6749,7.50,136888
7.253,Advanced Squad Leader,2885,7.92,243
7.253,Star Wars: Armada,2468,8.02,163745
7.253,Grand Austria Hotel,3186,7.77,182874
7.253,Ghost Stories,13691,7.39,37046
7.252,Endeavor,7930,7.46,33160
7.251,Merchants & Marauders,9324,7.45,25292
7.244,Love Letter,34024,7.32,129622
7.242,Risk Legacy,5248,7.59,105134
7.241,The Manhattan Project,6428,7.50,63628
7.235,Space Hulk (third edition),5765,7.57,54625
7.233,Captain Sonar,2685,7.87,171131
7.233,Xia: Legends of a Drift System,3021,7.83,82222
7.232,Notre Dame,9756,7.40,25554
7.232,Hive,19380,7.34,2655
7.230,Mission: Red Planet (second edition),3527,7.68,176920
7.229,Takenoko,18626,7.35,70919
7.228,Dune,4503,7.61,121
7.228,King of Tokyo,34592,7.32,70323
7.227,Civilization,6103,7.53,71
7.226,In the Year of the Dragon,8113,7.42,31594
7.223,Acquire,14917,7.36,5
7.223,Glass Road,5525,7.51,143693
7.223,Sheriff of Nottingham,13660,7.37,157969
7.222,Neuroshima Hex!,9393,7.44,21241
7.209,Rococo,4240,7.58,144344
7.205,Tikal,13384,7.34,54
7.198,Codenames: Pictures,3330,7.67,198773
7.197,Arkham Horror,29354,7.36,15987
7.196,Saint Petersburg,12237,7.34,9217
7.196,One Night Ultimate Werewolf,10321,7.38,147949
7.195,A Few Acres of Snow,6113,7.45,79828
7.194,San Juan,18411,7.30,8217
7.192,Telestrations,6339,7.44,46213
7.189,Ticket to Ride: Märklin,7619,7.41,21348
7.189,Kanban: Automotive Revolution,2597,7.80,109276
7.185,Survive: Escape from Atlantis!,13110,7.33,2653
7.182,Earth Reborn,2828,7.77,73171
7.180,The Pillars of the Earth,12824,7.32,24480
7.179,Macao,5702,7.44,55670
7.176,Blood Bowl: Team Manager – The Card Game,7931,7.39,90137
7.176,Trickerion: Legends of Illusion,2201,7.89,163068
7.173,BattleLore,8559,7.41,25417
