geek_rate,title,num_votes,avg_rate,id
7.319,Dixit Odyssey,9975,7.53,92828
7.311,Grand Austria Hotel,3899,7.77,182874
7.311,Navegador,6128,7.59,66589
7.310,Sid Meier's Civilization: The Board Game,11420,7.51,77130
7.306,Power Grid Deluxe: Europe/North America,2064,8.15,155873
7.303,1960: The Making of the President,6970,7.56,27708
7.302,1830: Railways & Robber Barons,3365,7.81,421
7.301,Agricola: All Creatures Big and Small,9123,7.50,119890
7.299,Imperial 2030,4019,7.74,54138
7.299,Fury of Dracula (third edition),4603,7.72,181279
7.298,Isle of Skye: From Chieftain to King,8579,7.52,176494
7.298,Magic: The Gathering,23046,7.44,463
7.292,Die Macher,4512,7.66,1
7.284,Samurai,12065,7.44,3
7.280,Claustrophobia,5627,7.61,36932
7.279,Kingdom Death: Monster,1988,8.91,55690
7.277,Dungeon Lords,10760,7.46,45315
7.276,Small World,43485,7.36,40692
7.271,Blood Bowl: Living Rulebook,3016,7.87,15985
7.271,Star Wars: Armada,2745,8.00,163745
7.270,Battle Line,12275,7.42,760
7.269,BattleCON: Devastation of Indines,2167,8.11,123123
7.266,Letters from Whitechapel,9052,7.49,59959
7.265,Dixit,31402,7.36,39856
7.255,Clash of Cultures,3954,7.70,40765
7.255,Mice and Mystics,10926,7.48,124708
7.253,Sushi Go Party!,3993,7.72,192291
7.251,Bruges,7124,7.49,136888
7.248,Ghost Stories,14235,7.39,37046
7.248,Codenames: Pictures,5149,7.59,198773
7.248,Mission: Red Planet (Second Edition),4237,7.66,176920
7.246,Advanced Squad Leader,2949,7.94,243
7.244,Endeavor,8022,7.46,33160
7.242,Merchants & Marauders,9663,7.45,25292
7.241,Dead of Winter: The Long Night,2245,8.12,193037
7.238,The Manhattan Project,6783,7.49,63628
7.236,Love Letter,36128,7.32,129622
7.235,Xia: Legends of a Drift System,3295,7.82,82222
7.230,Hive,20170,7.34,2655
7.227,Space Hulk (third edition),5882,7.57,54625
7.226,Takenoko,20156,7.35,70919
7.226,Notre Dame,9931,7.40,25554
7.225,Neuroshima Hex!,9831,7.45,21241
7.224,Risk Legacy,5531,7.57,105134
7.223,Pandemic Iberia,1786,8.23,198928
7.219,In the Year of the Dragon,8264,7.42,31594
7.219,Acquire,15260,7.36,5
7.218,Dune,4578,7.61,121
7.217,King of Tokyo,36782,7.31,70323
7.216,Glass Road,5879,7.49,143693
7.216,Rococo,4555,7.58,144344
7.213,Civilization,6194,7.52,71
7.209,Sheriff of Nottingham,15345,7.35,157969
7.206,Tikal,13741,7.34,54
7.206,Trickerion: Legends of Illusion,2610,7.86,163068
7.202,Kanban: Automotive Revolution,2829,7.79,109276
7.198,Indonesia,2704,7.77,19777
7.197,Deception: Murder in Hong Kong,4635,7.57,156129
7.194,Telestrations,6873,7.44,46213
7.192,San Juan,18799,7.30,8217
7.192,Saint Petersburg,12444,7.33,9217
7.191,Anachrony,1605,8.33,185343
7.191,Champions of Midgard,3428,7.70,172287
7.185,Arkham Horror,30202,7.35,15987
7.184,Ticket to Ride: Märklin,7758,7.42,21348
7.182,Survive: Escape from Atlantis!,13788,7.33,2653
7.181,A Few Acres of Snow,6258,7.44,79828
7.181,The Pillars of the Earth,13191,7.32,24480
7.180,One Night Ultimate Werewolf,11366,7.36,147949
7.172,Macao,5802,7.44,55670
7.169,Blood Bowl: Team Manager – The Card Game,8193,7.39,90137
7.168,Inis,2843,7.83,155821
7.166,Earth Reborn,2864,7.78,73171
7.164,Maria,1936,7.97,40354
7.164,At the Gates of Loyang,7195,7.39,39683
7.163,BattleLore,8640,7.40,25417
7.158,Mansions of Madness,10635,7.39,83330
7.158,Onitama,3536,7.65,160477
7.157,Lancaster,4838,7.48,96913
7.155,Roads & Boats,2500,7.76,875
7.154,Antiquity,2224,7.83,13122
7.154,Quadropolis,5273,7.48,176396
7.153,Fresco,8889,7.34,66188
7.153,Blood Bowl (Third Edition),4505,7.57,712
7.152,Lord of the Rings: The Confrontation,4552,7.51,18833
